lang,n,correct,acc,ci_low,ci_high,passes_floor
asm_Beng,900,509,0.5655555555555556,0.5329605430749784,0.5975933265757096,True
ben_Beng,900,547,0.6077777777777778,0.5754861298247496,0.6391532829907882,True
eng_Latn,900,716,0.7955555555555556,0.7679773348149275,0.820621467339022,True
npi_Deva,900,529,0.5877777777777777,0.5553122064039985,0.619497212280821,True
sin_Sinh,900,234,0.26,0.23240590054266796,0.2896341698887114,False
