arm,lang,precision,acc_fp16,acc_quant,delta_acc,n_fp16_only,n_quant_only,mcnemar_p,mcnemar_p_holm
base,eng_Latn,int8_llmint8,0.8955555555555555,0.89,0.005555555555555536,15,10,0.42435622215270996,0.8487124443054199
base,eng_Latn,nf4,0.8955555555555555,0.8844444444444445,0.011111111111111072,26,16,0.16414940178310644,0.4924482053493193
base,ben_Beng,int8_llmint8,0.6277777777777778,0.5944444444444444,0.033333333333333326,65,35,0.0035176417229701583,0.0202451101205532
base,ben_Beng,nf4,0.6277777777777778,0.5822222222222222,0.04555555555555557,100,59,0.001434463760420402,0.011475710083363216
ft,eng_Latn,int8_llmint8,0.9,0.8966666666666666,0.0033333333333334103,9,6,0.60723876953125,0.8487124443054199
ft,eng_Latn,nf4,0.9,0.8766666666666667,0.023333333333333317,31,10,0.0014504910141113214,0.011475710083363216
ft,ben_Beng,int8_llmint8,0.6188888888888889,0.5922222222222222,0.026666666666666727,49,25,0.007084252673880493,0.028337010695521973
ft,ben_Beng,nf4,0.6188888888888889,0.5811111111111111,0.0377777777777778,81,47,0.0033741850200922,0.0202451101205532
