lang,precision,contrast,delta_interaction,ci_low,ci_high,p_bootstrap,n_boot,p_holm
eng_Latn,int8_llmint8,base_minus_ft_degradation,0.0022222222222221255,-0.012222222222222134,0.016666666666666607,0.7846,10000,1.0
eng_Latn,nf4,base_minus_ft_degradation,-0.012222222222222245,-0.03111111111111098,0.005555555555555647,0.2084,10000,0.8336
ben_Beng,int8_llmint8,base_minus_ft_degradation,0.006666666666666599,-0.020000000000000018,0.033333333333333326,0.6246,10000,1.0
ben_Beng,nf4,base_minus_ft_degradation,0.007777777777777772,-0.025555555555555554,0.0411111111111111,0.6494,10000,1.0
