lang,precision,acc_base,acc_ft,delta_ft_minus_base,acc_base_fp16,base_quantization_cost,recovers_fp16_gap,n_ft_only,n_base_only,mcnemar_p,mcnemar_p_holm
eng_Latn,fp16,0.8955555555555555,0.9,0.004444444444444473,0.8955555555555555,0.0,,25,21,0.6587380770236564,1.0
eng_Latn,int8_llmint8,0.89,0.8966666666666666,0.006666666666666599,0.8955555555555555,0.005555555555555536,1.199999999999992,32,26,0.5118423084381689,1.0
eng_Latn,nf4,0.8844444444444445,0.8766666666666667,-0.007777777777777772,0.8955555555555555,0.011111111111111072,-0.700000000000002,34,41,0.48868297090314333,1.0
ben_Beng,fp16,0.6277777777777778,0.6188888888888889,-0.008888888888888835,0.6277777777777778,0.0,,78,86,0.5847834991169724,1.0
ben_Beng,int8_llmint8,0.5944444444444444,0.5922222222222222,-0.0022222222222222365,0.6277777777777778,0.033333333333333326,-0.06666666666666711,91,93,0.9412590347294773,1.0
ben_Beng,nf4,0.5822222222222222,0.5811111111111111,-0.0011111111111110628,0.6277777777777778,0.04555555555555557,-0.024390243902437953,99,100,1.0,1.0
